hotel_id,hotel_name,area,page_status,mapping_status,complaint_n,top_aspects,company_reply_n,company_reply_visibility_pct,google_review_count,complaint_visibility_per_1000_google_reviews,visibility_support_flag,support_level,data_quality_note
BOD083,Oza butik hotel,Gümüşlük,REJECTED_CANDIDATE_PAGE,REJECTED_WRONG_ENTITY,0,,,,143,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD084,Paradise Garden Apartments,Gümüşlük,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,55,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD085,Paradise Gümüşlük,Gümüşlük,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,37,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD086,Vega Aparts,Gümüşlük,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,486,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD087,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,613,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD088,Baia Bodrum Hotel,Gündoğan,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,MATCHED_EXACT,0,,0.0,,1964,0.0,MODERATE_DENOMINATOR,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,found_page_no_visible_complaint_does_not_mean_problem_free
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,1351,,MODERATE_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,690,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD091,Gündoğan Suites,Gündoğan,MAPPING_AMBIGUOUS,AMBIGUOUS_REMAINS,0,,,,67,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD092,Liona Hotel,Gündoğan,MAPPING_AMBIGUOUS,AMBIGUOUS_REMAINS,0,,,,307,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD093,Malta Bodrum Hotel,Gündoğan,REJECTED_CANDIDATE_PAGE,REJECTED_WRONG_ENTITY,0,,,,127,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
