hotel_id,hotel_name,area,mapping_status,page_accessible,visible_complaint_count,matched_complaint_count,first_complaint_date,last_complaint_date,avg_complaint_word_count,median_complaint_word_count,company_response_count,complaints_with_replies,total_reply_count,view_count_non_null,median_view_count,review_required_complaint_count,company_response_rate_in_corpus,view_count_coverage_pct
BOD153,The Oba Hotel,Torba,FOUND_EXACT,True,10,10,2024-06-15 19:54:00,2025-09-14 18:39:00,100.4,72.5,0,1,1,10,3080.5,0,0.0,100.0
BOD154,Toka Bodrum Hotel & Beach Club,Torba,PAGE_FOUND_NO_COMPLAINT,True,0,0,,,,,0,0,0,0,,0,,
BOD155,Trend Life | Trendlife Hotels & Beach Club Bodrum Torba,Torba,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD156,Voyage Torba,Torba,NOT_FOUND,True,10,0,,,,,0,0,0,0,,0,,
BOD157,Voyage Torba Private,Torba,NOT_FOUND,True,10,0,,,,,0,0,0,0,,0,,
BOD158,Arin Resort Bodrum,Turgutreis,FOUND_EXACT,True,1,1,2025-06-27 11:39:00,2025-06-27 11:39:00,146.0,146.0,0,0,0,1,878.0,0,0.0,100.0
BOD159,Bodrum Ada Otel Turgutreis,Turgutreis,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD160,La Blanche Resort Bodrum,Turgutreis,FOUND_HIGH_CONFIDENCE,True,12,12,2023-10-17 18:40:00,2026-08-22 15:55:00,135.91666666666666,120.5,0,1,1,12,885.0,0,0.0,100.0
BOD161,MyElla Hotel Resort & Spa,Turgutreis,REVIEW_REQUIRED,True,21,0,,,,,0,0,0,0,,0,,
BOD162,Rammos Managed by Dedeman,Turgutreis,REVIEW_REQUIRED,True,22,0,,,,,0,0,0,0,,0,,
BOD163,Sundance Resort,Turgutreis,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD164,Swissôtel Resort Bodrum Sahili,Turgutreis,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD165,Caja by Maxx Royal,Türkbükü,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD166,Divan Bodrum,Türkbükü,NOT_FOUND,True,17,0,,,,,0,0,0,0,,0,,
BOD167,Elista Hotel & Spa,Türkbükü,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD168,Kuum Hotel & SPA Bodrum,Türkbükü,FOUND_EXACT,True,1,0,,,,,0,0,0,0,,1,,
BOD169,MACAKIZI BODRUM,Türkbükü,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD170,No:81 Hotel,Türkbükü,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD171,4 reasons Hotel Yalikavak,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD172,Ailla Yalıkavak,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD173,Allium Bodrum Resort & Spa,Yalıkavak,PAGE_FOUND_NO_COMPLAINT,True,0,0,,,,,0,0,0,0,,0,,
BOD174,Arts Hotel Bodrum Yalıkavak,Yalıkavak,REVIEW_REQUIRED,True,1,0,,,,,0,0,0,0,,0,,
BOD175,Avantgarde Refined Hotel | Yalıkavak,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD176,Blue Point Yalikavak,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,REVIEW_REQUIRED,True,13,0,,,,,0,0,0,0,,0,,
BOD178,Highlight Hotel Yalıkavak,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD179,Lizbonia Otel Yalikavak,Yalıkavak,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
