hotel_id,hotel_name,hotel_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag,nlp_sample_tier
BOD060,Club Shark Hotel,1,POOL,0,0.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,FACILITIES_MAINTENANCE,0,0.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,RESERVATION,1,100.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,PAYMENT_REFUND,1,100.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,PRICE_VALUE,1,100.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,CHECKIN_CHECKOUT,0,0.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,AIR_CONDITIONING,0,0.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,NOISE,0,0.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,FAMILY_CHILDREN,0,0.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,TRANSPORT_TRANSFER,0,0.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,MANAGEMENT_COMMUNICATION,1,100.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,SPA_WELLNESS,0,0.0,True,LOW_SAMPLE
BOD060,Club Shark Hotel,1,SAFETY_SECURITY,0,0.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,STAFF_SERVICE,1,50.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,CLEANLINESS_HYGIENE,0,0.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,FOOD_BEVERAGE,2,100.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,ROOM,2,100.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,BEACH_SEA,2,100.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,POOL,1,50.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,FACILITIES_MAINTENANCE,0,0.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,RESERVATION,1,50.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,PAYMENT_REFUND,1,50.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,PRICE_VALUE,0,0.0,True,LOW_SAMPLE
BOD061,Gümbet Anıl Beach,2,CHECKIN_CHECKOUT,0,0.0,True,LOW_SAMPLE
